Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
85,13.603053,0.961832,-8.656489,-0.698486,0.205078,0.667847,0,0,0
88,13.954198,0.427481,-11.694656,-0.719971,0.17334,0.673584,0,0,0
91,13.022901,0.59542,-11.374046,-0.710083,0.174438,0.684204,0,0,0
94,13.053435,0.885496,-9.801527,-0.716309,0.225464,0.667114,0,0,0
97,11.465649,0.427481,-9.969466,-0.706299,0.202759,0.657959,0,0,0
100,12.290076,1.083969,-9.114504,-0.709839,0.227173,0.689575,0,0,0
103,10.564885,1.007634,-10.48855,-0.708984,0.197388,0.665649,0,0,0
106,9.145038,0.580153,-11.725191,-0.712891,0.191162,0.650757,0,0,0
109,10.48855,1.694656,-6.717557,-0.715576,0.254028,0.682251,0,0,0
112,12.916031,1.29771,-8.045802,-0.715942,0.193726,0.655029,0,0,0
115,11.236641,0.290076,-11.541985,-0.719116,0.162964,0.656982,0,0,0
118,8.48855,0.900763,-13.832061,-0.733398,0.173218,0.688721,0,0,0
121,7.145038,0.931298,-12.70229,-0.727173,0.18811,0.67334,0,0,0
124,8.274809,0.900763,-11.969466,-0.699951,0.102295,0.701294,0,0,0
127,7.267176,1.51145,-14.259542,-0.75061,0.178345,0.686768,0,0,0
130,10.320611,-0.076336,-12.854962,-0.714966,0.101685,0.678589,0,0,0
133,13.557252,0.70229,-14.473282,-0.721191,0.120728,0.70459,0,0,0
136,14.259542,-0.045802,-13.633588,-0.713257,0.14209,0.682739,0,0,0
139,11.709924,0.045802,-14.442748,-0.721436,0.169312,0.670044,0,0,0
142,14.061069,-0.045802,-13.618321,-0.712036,0.164917,0.682129,0,0,0
145,11.557252,-0.091603,-16.396947,-0.725342,0.194214,0.670044,0,0,0
148,11.770992,-0.10687,-17.450382,-0.732422,0.186523,0.673828,0,0,0
151,12.137405,-1.099237,-14.977099,-0.709961,0.179199,0.658691,0,0,0
154,13.389313,-0.519084,-16.992366,-0.730957,0.196777,0.665405,0,0,0
157,14.21374,-1.099237,-15.450382,-0.713013,0.204468,0.641724,0,0,0
160,10.366412,-1.129771,-18.335878,-0.728638,0.202148,0.642944,0,0,0
163,12.732824,-0.687023,-12.045802,-0.710449,0.246094,0.68396,0,0,0
166,11.053435,-1.083969,-14.854962,-0.709839,0.178833,0.661011,0,0,0
169,9.877863,-1.145038,-18.122137,-0.723267,0.14978,0.678589,0,0,0
172,6.687023,-0.580153,-19.389313,-0.748657,0.191284,0.674805,0,0,0
175,12.519084,-1.389313,-11.114504,-0.700195,0.168579,0.648071,0,0,0
178,13.648855,-1.068702,-17.099237,-0.719482,0.128052,0.68457,0,0,0
181,8.977099,-1.160305,-21.557252,-0.735474,0.12085,0.691528,0,0,0
184,7.175573,-1.175573,-20.992366,-0.732422,0.098267,0.690186,0,0,0
187,14,-0.396947,-14.427481,-0.707642,0.175049,0.678955,0,0,0
190,17.816794,-1.129771,-13.801527,-0.695679,0.124756,0.655884,0,0,0
193,16.076336,0.076336,-15.450382,-0.724731,0.238037,0.688354,0,0,0
196,14.122137,-0.229008,-14.824427,-0.722412,0.248657,0.65686,0,0,0
199,14.21374,-0.885496,-13.312977,-0.709961,0.206177,0.669067,0,0,0
202,13.572519,-0.473282,-16.305344,-0.717896,0.193604,0.685791,0,0,0
205,9.938931,0.183206,-17.389313,-0.729248,0.216187,0.680786,0,0,0
208,14.48855,-0.656489,-12.427481,-0.690796,0.148438,0.673584,0,0,0
211,16.580153,1.145038,-12.167939,-0.724731,0.251343,0.67981,0,0,0
214,22.183206,0.564885,-5.114504,-0.686035,0.25708,0.640869,0,0,0
217,17.267176,0.778626,-12.167939,-0.717896,0.195923,0.651489,0,0,0
220,12.977099,1.099237,-12.778626,-0.726196,0.227783,0.691162,0,0,0
223,10.824427,2.137405,-9.389313,-0.713379,0.238159,0.664673,0,0,0
226,10.641221,2.076336,-8.946565,-0.691895,0.165527,0.66333,0,0,0
229,12.900763,3.633588,-9.038168,-0.718262,0.199341,0.678589,0,0,0
232,13.923664,2.442748,-9.755725,-0.709473,0.126221,0.663574,0,0,0
235,11.618321,3.343511,-13.740458,-0.739868,0.181763,0.700073,0,0,0
238,12.916031,3.29771,-6.916031,-0.725586,0.201782,0.675171,0,0,0
241,21.78626,3.068702,-1.526718,-0.680542,0.190552,0.672852,0,0,0
244,18.732824,4.70229,-9.038168,-0.733154,0.21582,0.686035,0,0,0
247,15.89313,4.580153,-3.801527,-0.732056,0.285034,0.671753,0,0,0
250,13.709924,3.664122,-6.534351,-0.703613,0.193848,0.64502,0,0,0
253,10.59542,4.748092,-11.709924,-0.749512,0.225342,0.659668,0,0,0
0,12.320611,4.381679,-4.916031,-0.704834,0.189941,0.661377,0,0,0
3,11.648855,5.694656,-6.977099,-0.698364,0.200195,0.657227,0,0,0
6,11.526718,5.480916,-8.503817,-0.728882,0.187744,0.688843,0,0,0
9,7.740458,4.732824,-10.244275,-0.727051,0.151245,0.672974,0,0,0
12,9.114504,4.992366,-10.122137,-0.722778,0.135254,0.667603,0,0,0
15,14.167939,6.122137,-6.091603,-0.719238,0.201294,0.661987,0,0,0
18,14.396947,5.175573,-5.236641,-0.718994,0.169067,0.654541,0,0,0
21,14.412214,5.603053,-8.732824,-0.736328,0.183594,0.66626,0,0,0
24,13.89313,5.389313,-7.465649,-0.732544,0.193604,0.666504,0,0,0
27,16.412214,4.900763,-4.503817,-0.697388,0.181274,0.641479,0,0,0
30,11.206107,7.282443,-9.877863,-0.746704,0.252197,0.640015,0,0,0
33,8.732824,4.564885,-6.977099,-0.714844,0.166504,0.655151,0,0,0
36,7.145038,6.015267,-9.862595,-0.728516,0.216919,0.669067,0,0,0
39,8.580153,5.068702,-9.908397,-0.71582,0.148315,0.64978,0,0,0
42,5.251908,5.114504,-12.305344,-0.718506,0.117676,0.679565,0,0,0
45,4.687023,6.122137,-14.931298,-0.759888,0.185913,0.671631,0,0,0
48,13.083969,6.030534,-2.015267,-0.715942,0.23999,0.643799,0,0,0
51,15.877863,5.679389,-7.206107,-0.722534,0.174683,0.628174,0,0,0
54,15.083969,5.328244,-10.519084,-0.724854,0.179565,0.660156,0,0,0
57,4.167939,5.160305,-15.969466,-0.72937,0.139038,0.67334,0,0,0
60,2,6.396947,-11.068702,-0.707397,0.186157,0.689819,0,0,0
63,2.961832,5.419847,-14.366412,-0.740723,0.109375,0.650391,0,0,0
66,10.061069,5.51145,-12.122137,-0.713745,0.129517,0.670776,0,0,0
69,10.412214,6.259542,-13.007634,-0.735962,0.199097,0.654175,0,0,0
72,7.251908,4.763359,-13.725191,-0.716553,0.162354,0.645386,0,0,0
75,0.870229,4.656489,-18.946565,-0.740234,0.168335,0.671509,0,0,0
78,1.618321,4.412214,-15.603053,-0.724487,0.158569,0.671875,0,0,0
81,3.40458,3.419847,-17.129771,-0.719727,0.094971,0.670532,0,0,0
84,9.389313,4.244275,-17.145038,-0.724487,0.166138,0.684082,0,0,0
87,12.885496,4.458015,-10.427481,-0.717529,0.259888,0.654663,0,0,0
90,9.938931,2.48855,-12.335878,-0.698242,0.178833,0.635742,0,0,0
93,3.480916,3.877863,-21.160305,-0.765747,0.222412,0.687988,0,0,0
96,-1.709924,1.648855,-17.709924,-0.727661,0.150757,0.651855,0,0,0
99,4.458015,2.534351,-16.687023,-0.719604,0.129517,0.673096,0,0,0
102,10.992366,3.78626,-9.89313,-0.731445,0.267944,0.672119,0,0,0
105,18.244275,2.030534,-5.648855,-0.682861,0.228149,0.609497,0,0,0
108,15.908397,4.274809,-10.458015,-0.727295,0.301514,0.664429,0,0,0
111,11.160305,3.587786,-11.099237,-0.719604,0.2854,0.658569,0,0,0
114,2.21374,3.908397,-12.351145,-0.734985,0.26001,0.667725,0,0,0
117,-1.053435,3.984733,-15.145038,-0.734131,0.198486,0.649902,0,0,0
120,4.412214,3.572519,-10.656489,-0.702881,0.167114,0.64856,0,0,0
123,2.687023,4.732824,-14.778626,-0.726929,0.164307,0.668701,0,0,0
126,1.51145,4.076336,-16.824427,-0.737061,0.138916,0.668091,0,0,0
129,6.320611,4.610687,-10.137405,-0.722046,0.160645,0.682251,0,0,0
132,9.083969,4.030534,-11.908397,-0.722534,0.141479,0.651245,0,0,0
135,9.068702,4.519084,-11.480916,-0.744385,0.2229,0.670288,0,0,0
138,8.473282,3.770992,-9.114504,-0.702271,0.148315,0.676147,0,0,0
141,7.236641,5.083969,-12.778626,-0.729736,0.190308,0.667847,0,0,0
144,7.419847,4.381679,-11.572519,-0.730713,0.150024,0.664307,0,0,0
147,7.954198,3.923664,-12.961832,-0.734131,0.127197,0.650146,0,0,0
150,5.770992,3.251908,-11.480916,-0.704468,0.149048,0.662476,0,0,0
153,4.778626,4.961832,-15.679389,-0.749878,0.178833,0.6875,0,0,0
156,7.603053,4,-11.755725,-0.70105,0.142212,0.66626,0,0,0
159,4.916031,4.931298,-17.755725,-0.761108,0.13855,0.658936,0,0,0
162,9.618321,3.083969,-11.038168,-0.741943,0.149414,0.660767,0,0,0
165,14.351145,4.656489,-9.221374,-0.717285,0.176758,0.656982,0,0,0
168,13.557252,4.167939,-10.610687,-0.729736,0.195312,0.646484,0,0,0
171,9.709924,3.770992,-11.801527,-0.734009,0.178589,0.649292,0,0,0
174,8.656489,4.351145,-12.351145,-0.746094,0.209473,0.651733,0,0,0
177,8.732824,4.198473,-10.503817,-0.713745,0.179077,0.639404,0,0,0
180,7.51145,4,-13.954198,-0.743042,0.123901,0.668945,0,0,0
183,3.51145,4.244275,-15.541985,-0.752319,0.164307,0.665527,0,0,0
186,10.519084,4.458015,-10.045802,-0.722778,0.156494,0.648926,0,0,0
189,11.618321,3.816794,-12.580153,-0.735718,0.13855,0.646729,0,0,0
192,12.656489,5.267176,-11.175573,-0.750244,0.260498,0.662842,0,0,0
195,16.656489,3.877863,-2.473282,-0.704956,0.226562,0.632446,0,0,0
198,12.534351,4.274809,-10.167939,-0.721558,0.200562,0.634644,0,0,0
201,7.480916,4,-12.458015,-0.725952,0.177979,0.693115,0,0,0
204,-4.076336,4.519084,-22.610687,-0.773071,0.126465,0.656982,0,0,0
207,1.923664,3.114504,-12.580153,-0.713501,0.098267,0.663208,0,0,0
210,4.656489,4.916031,-12.687023,-0.720947,0.140381,0.652832,0,0,0
213,12.305344,3.725191,-11.633588,-0.73291,0.137817,0.662964,0,0,0
216,13.145038,4.931298,-12.671756,-0.741699,0.206177,0.689575,0,0,0
219,15.465649,3.358779,-8.442748,-0.724365,0.211304,0.632324,0,0,0
222,12.381679,4.290076,-8.10687,-0.724731,0.279663,0.649658,0,0,0
225,7.022901,3.984733,-11.541985,-0.729858,0.184814,0.64624,0,0,0
228,5.938931,4.885496,-11.312977,-0.731201,0.229126,0.66333,0,0,0
231,5.29771,4.412214,-13.236641,-0.716919,0.164307,0.631592,0,0,0
234,2.335878,4.030534,-16.564885,-0.743652,0.122559,0.661133,0,0,0
237,3.145038,5.114504,-14.732824,-0.746826,0.181885,0.676514,0,0,0
240,8.137405,4.931298,-9.19084,-0.717896,0.187744,0.623657,0,0,0
243,8.961832,5.083969,-10.839695,-0.711182,0.160645,0.653809,0,0,0
246,6.152672,4.992366,-15.374046,-0.740356,0.16748,0.671753,0,0,0
249,2.885496,5.053435,-12.534351,-0.730835,0.190918,0.670654,0,0,0
