Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
149,1.19084,-0.931298,3.114504,-0.916138,0.063965,0.397461,0,0,0
152,1.160305,-0.854962,3.083969,-0.912598,0.064331,0.396118,0,0,0
155,1.328244,-1.038168,3.236641,-0.915039,0.064697,0.398804,0,0,0
158,1.51145,-1.145038,3.343511,-0.915894,0.063965,0.394165,0,0,0
161,1.526718,-0.961832,3.419847,-0.912598,0.063721,0.397827,0,0,0
164,1.557252,-1.038168,3.343511,-0.912964,0.070312,0.402344,0,0,0
167,1.541985,-0.977099,3.251908,-0.911011,0.067261,0.397827,0,0,0
170,1.557252,-0.946565,3.267176,-0.909546,0.064209,0.401001,0,0,0
173,1.572519,-0.870229,3.312977,-0.912964,0.063843,0.400269,0,0,0
176,1.572519,-0.824427,3.312977,-0.909424,0.063843,0.401489,0,0,0
179,1.908397,-0.748092,3.267176,-0.910889,0.065796,0.399658,0,0,0
182,2.015267,-0.671756,3.312977,-0.910156,0.067505,0.401001,0,0,0
185,1.908397,-0.366412,3.312977,-0.912231,0.069214,0.405029,0,0,0
188,1.877863,-0.167939,3.312977,-0.914551,0.069336,0.4021,0,0,0
191,1.877863,0,3.129771,-0.912109,0.067383,0.401489,0,0,0
194,1.832061,0.198473,3.267176,-0.911987,0.070312,0.401978,0,0,0
197,1.725191,0.534351,3.175573,-0.912598,0.072021,0.401978,0,0,0
200,1.740458,0.641221,3.160305,-0.911865,0.064941,0.402832,0,0,0
203,1.725191,0.977099,3.129771,-0.911377,0.067383,0.400024,0,0,0
206,1.679389,1.068702,3.221374,-0.910522,0.067017,0.401489,0,0,0
209,1.862595,1.236641,3.19084,-0.911377,0.069336,0.401245,0,0,0
212,1.847328,1.541985,3.251908,-0.910645,0.068237,0.400146,0,0,0
215,1.694656,1.648855,2.992366,-0.9104,0.072876,0.395996,0,0,0
218,1.557252,1.816794,2.931298,-0.915405,0.067871,0.401611,0,0,0
221,1.633588,1.816794,3.007634,-0.910522,0.06897,0.398438,0,0,0
224,1.526718,1.954198,2.916031,-0.911987,0.068481,0.399536,0,0,0
227,1.664122,2.198473,2.946565,-0.908569,0.067505,0.398804,0,0,0
230,1.78626,2.274809,2.70229,-0.912964,0.072388,0.400513,0,0,0
233,1.251908,2.290076,2.564885,-0.91333,0.075562,0.395508,0,0,0
236,1.175573,2.366412,2.244275,-0.911743,0.073853,0.39563,0,0,0
239,1.007634,2.427481,2.076336,-0.910645,0.072021,0.39624,0,0,0
242,0.916031,2.458015,1.877863,-0.911743,0.071411,0.39624,0,0,0
245,0.717557,2.534351,1.679389,-0.911865,0.072632,0.394043,0,0,0
248,0.732824,2.534351,1.51145,-0.915039,0.071899,0.398438,0,0,0
251,0.351145,2.503817,1.29771,-0.91333,0.072266,0.396729,0,0,0
254,0.442748,2.549618,1.145038,-0.91748,0.066406,0.39856,0,0,0
1,0.412214,2.335878,1.099237,-0.915894,0.068115,0.396729,0,0,0
4,0.48855,2.351145,0.946565,-0.915283,0.071777,0.396362,0,0,0
7,0.366412,2.335878,0.870229,-0.917114,0.068481,0.395264,0,0,0
10,0.427481,2.244275,0.610687,-0.915894,0.073853,0.397461,0,0,0
13,0.21374,2.076336,0.580153,-0.91626,0.06958,0.396362,0,0,0
16,0.198473,2.061069,0.442748,-0.914307,0.069946,0.39502,0,0,0
19,0.229008,2.015267,0.183206,-0.913086,0.073853,0.393066,0,0,0
22,0.10687,1.847328,-0.015267,-0.912598,0.073853,0.393433,0,0,0
25,-0.091603,1.816794,-0.183206,-0.918091,0.073853,0.3927,0,0,0
