Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
148,1.862595,2.21374,0.916031,-0.606812,0.112427,0.79895,0,0,0
151,1.572519,1.984733,0.885496,-0.607422,0.111328,0.803833,0,0,0
154,1.603053,1.969466,0.625954,-0.609009,0.112305,0.806519,0,0,0
157,1.557252,1.618321,0.580153,-0.609131,0.114868,0.806519,0,0,0
160,1.236641,1.343511,0.290076,-0.613403,0.11377,0.806152,0,0,0
163,1.267176,1.145038,0.21374,-0.610718,0.114014,0.80957,0,0,0
166,1.114504,0.931298,0,-0.615601,0.116699,0.808472,0,0,0
169,0.900763,0.564885,-0.366412,-0.614258,0.11792,0.809326,0,0,0
172,0.870229,0.244275,-0.549618,-0.615234,0.120483,0.807251,0,0,0
175,0.534351,0.015267,-0.534351,-0.613647,0.122681,0.805908,0,0,0
178,0.458015,-0.335878,-0.732824,-0.615479,0.130249,0.80249,0,0,0
181,-0.10687,-0.473282,-0.717557,-0.612793,0.131958,0.803345,0,0,0
184,-0.274809,-0.763359,-0.916031,-0.610474,0.133667,0.800293,0,0,0
187,-0.48855,-0.80916,-0.80916,-0.609375,0.13562,0.79541,0,0,0
190,-0.778626,-0.916031,-0.70229,-0.609741,0.132812,0.796021,0,0,0
193,-0.732824,-0.854962,-0.748092,-0.608154,0.131714,0.78894,0,0,0
196,-1.129771,-0.854962,-0.70229,-0.60498,0.134766,0.790283,0,0,0
199,-1.129771,-0.900763,-0.48855,-0.603638,0.133057,0.792358,0,0,0
202,-1.175573,-0.870229,-0.534351,-0.604858,0.130981,0.791626,0,0,0
205,-1.175573,-0.885496,-0.320611,-0.606079,0.12854,0.789307,0,0,0
208,-1.114504,-0.870229,-0.381679,-0.603271,0.130615,0.786987,0,0,0
211,-1.312977,-0.931298,-0.351145,-0.605225,0.127197,0.790161,0,0,0
214,-1.557252,-0.854962,-0.305344,-0.604004,0.128418,0.789551,0,0,0
217,-1.664122,-0.931298,-0.274809,-0.598511,0.123413,0.790161,0,0,0
220,-1.954198,-0.763359,-0.458015,-0.600342,0.122314,0.789429,0,0,0
223,-2.045802,-1.007634,-0.381679,-0.599365,0.123169,0.789917,0,0,0
226,-2.183206,-0.961832,-0.473282,-0.603271,0.121338,0.791138,0,0,0
229,-2.091603,-0.977099,-0.549618,-0.599854,0.123657,0.787842,0,0,0
232,-2.21374,-0.977099,-0.458015,-0.600464,0.119385,0.783325,0,0,0
235,-2.183206,-0.885496,-0.473282,-0.60144,0.115723,0.781982,0,0,0
238,-1.908397,-0.656489,-0.427481,-0.599121,0.111938,0.783203,0,0,0
241,-1.862595,-0.580153,-0.305344,-0.598022,0.111572,0.785767,0,0,0
244,-1.816794,-0.305344,-0.274809,-0.601196,0.105225,0.784302,0,0,0
247,-1.480916,-0.152672,-0.320611,-0.602051,0.107788,0.78894,0,0,0
250,-1.40458,-0.045802,-0.351145,-0.601929,0.104248,0.790283,0,0,0
253,-1.312977,-0.122137,-0.335878,-0.602661,0.105225,0.790771,0,0,0
0,-1.19084,-0.091603,-0.48855,-0.605957,0.101685,0.793457,0,0,0
3,-0.977099,-0.10687,-0.473282,-0.60437,0.103271,0.798096,0,0,0
6,-0.732824,-0.290076,-0.580153,-0.605591,0.103516,0.796387,0,0,0
9,-0.656489,-0.320611,-0.59542,-0.60437,0.103149,0.798096,0,0,0
12,-0.412214,-0.442748,-0.717557,-0.608154,0.108643,0.797974,0,0,0
15,-0.48855,-0.656489,-0.717557,-0.606567,0.110962,0.797241,0,0,0
18,-0.351145,-0.824427,-0.854962,-0.604736,0.113159,0.794556,0,0,0
21,-0.305344,-0.793893,-0.885496,-0.60437,0.117432,0.793457,0,0,0
24,-0.412214,-1.038168,-0.748092,-0.607666,0.118408,0.790039,0,0,0
27,-0.259542,-0.900763,-0.717557,-0.606567,0.124268,0.78833,0,0,0
30,-0.473282,-0.80916,-0.671756,-0.603516,0.121948,0.784546,0,0,0
33,-0.59542,-0.793893,-0.625954,-0.604004,0.126099,0.779785,0,0,0
36,-0.656489,-0.580153,-0.625954,-0.604858,0.125366,0.779053,0,0,0
39,-0.687023,-0.396947,-0.534351,-0.602173,0.126709,0.780151,0,0,0
42,-0.824427,-0.198473,-0.320611,-0.602051,0.124634,0.776978,0,0,0
45,-0.656489,-0.122137,-0.274809,-0.600952,0.125732,0.778809,0,0,0
48,-0.687023,0,-0.137405,-0.602661,0.125366,0.778809,0,0,0
51,-0.671756,0.122137,-0.10687,-0.603149,0.123413,0.780029,0,0,0
54,-0.793893,0.015267,0.030534,-0.598877,0.127075,0.782227,0,0,0
57,-0.671756,0.122137,0.167939,-0.602905,0.12439,0.786377,0,0,0
60,-0.564885,0.183206,0.122137,-0.603882,0.119629,0.7854,0,0,0
63,-0.503817,0.015267,0.458015,-0.605103,0.118652,0.789917,0,0,0
66,-0.351145,0.015267,0.366412,-0.610229,0.119629,0.793335,0,0,0
69,-0.21374,-0.076336,0.412214,-0.610352,0.116211,0.794067,0,0,0
72,-0.076336,-0.091603,0.442748,-0.613037,0.117798,0.794922,0,0,0
75,0.061069,-0.366412,0.48855,-0.612305,0.116455,0.792969,0,0,0
78,0.045802,-0.427481,0.442748,-0.614136,0.116211,0.797363,0,0,0
81,0.396947,-0.564885,0.534351,-0.612061,0.117188,0.796631,0,0,0
84,0.259542,-0.549618,0.519084,-0.610474,0.118408,0.798828,0,0,0
87,0.442748,-0.687023,0.473282,-0.609985,0.120361,0.796997,0,0,0
90,0.366412,-0.916031,0.442748,-0.609497,0.123901,0.792236,0,0,0
93,0.396947,-1.083969,0.534351,-0.607422,0.125488,0.78894,0,0,0
96,0.458015,-0.977099,0.534351,-0.603394,0.130981,0.782227,0,0,0
99,0.290076,-0.977099,0.625954,-0.602417,0.130615,0.777344,0,0,0
102,0.320611,-0.916031,0.610687,-0.604736,0.128418,0.780884,0,0,0
105,0.198473,-0.778626,0.80916,-0.600464,0.133179,0.77417,0,0,0
108,0.137405,-0.656489,0.900763,-0.600586,0.132568,0.77478,0,0,0
111,0.21374,-0.442748,1.083969,-0.597534,0.133667,0.769165,0,0,0
114,0.21374,-0.183206,1.251908,-0.595215,0.130127,0.768677,0,0,0
117,0.335878,0.122137,1.267176,-0.598511,0.133179,0.766357,0,0,0
120,0.320611,0.198473,1.328244,-0.60144,0.133057,0.768433,0,0,0
123,0.366412,0.564885,1.343511,-0.600464,0.129272,0.766113,0,0,0
126,0.137405,0.763359,1.480916,-0.600586,0.12793,0.76709,0,0,0
129,0.198473,0.992366,1.40458,-0.604736,0.127441,0.769897,0,0,0
132,0.320611,1.145038,1.496183,-0.600952,0.125366,0.771118,0,0,0
135,0.061069,1.221374,1.648855,-0.603027,0.126099,0.776733,0,0,0
138,0.045802,1.221374,1.603053,-0.603394,0.122437,0.783447,0,0,0
141,0.122137,1.114504,1.664122,-0.609009,0.124634,0.786499,0,0,0
144,0.076336,0.977099,1.587786,-0.613647,0.121338,0.787842,0,0,0
147,0.10687,0.778626,1.587786,-0.616577,0.118408,0.798828,0,0,0
150,0.167939,0.625954,1.694656,-0.618774,0.116577,0.800293,0,0,0
153,0.381679,0.335878,1.633588,-0.620483,0.114258,0.805542,0,0,0
156,0.458015,0.167939,1.587786,-0.625732,0.112671,0.807983,0,0,0
159,0.717557,-0.030534,1.572519,-0.625854,0.114136,0.811279,0,0,0
162,0.793893,-0.503817,1.51145,-0.626465,0.114746,0.810547,0,0,0
165,0.763359,-1.007634,1.29771,-0.623779,0.11792,0.813354,0,0,0
168,0.656489,-1.51145,1.29771,-0.623779,0.120239,0.812622,0,0,0
171,0.442748,-1.938931,1.358779,-0.621826,0.125,0.804932,0,0,0
174,0.305344,-2.183206,1.282443,-0.621704,0.12793,0.806763,0,0,0
177,0.061069,-2.412214,1.358779,-0.620728,0.124023,0.797852,0,0,0
180,0,-2.59542,1.312977,-0.618652,0.126465,0.797363,0,0,0
183,-0.076336,-2.763359,1.480916,-0.616089,0.12793,0.793091,0,0,0
186,-0.030534,-2.793893,1.450382,-0.616455,0.124878,0.793335,0,0,0
189,-0.045802,-2.900763,1.709924,-0.612793,0.125,0.788818,0,0,0
192,0.244275,-2.961832,1.694656,-0.609497,0.122681,0.787109,0,0,0
195,0.335878,-2.885496,1.51145,-0.606567,0.12207,0.786865,0,0,0
198,0.229008,-2.992366,1.496183,-0.606812,0.124634,0.782104,0,0,0
201,0.137405,-3.175573,1.679389,-0.602905,0.123047,0.782715,0,0,0
204,0.091603,-3.175573,1.740458,-0.603882,0.123657,0.780884,0,0,0
207,-0.167939,-3.160305,1.541985,-0.596436,0.120483,0.778076,0,0,0
210,-0.167939,-3.114504,1.389313,-0.597656,0.120483,0.774414,0,0,0
213,-0.366412,-3.29771,1.618321,-0.595215,0.11438,0.771362,0,0,0
216,-0.335878,-3.083969,1.19084,-0.599976,0.119263,0.772949,0,0,0
219,-0.290076,-2.900763,1.221374,-0.599854,0.111938,0.770264,0,0,0
